index,axis-0,axis-1,axis-2
0.0,2.0,2.6022160844422233,112.15558652613038
1.0,2.0,7.43533834089729,122.14403918947093
2.0,3.0,15.490542101655794,123.11066364076194
3.0,3.0,11.301836146061376,112.80000282699106
4.0,3.0,2.6022160844421878,114.41104357914276
5.0,4.0,1.6355916331511784,78.64593888137499
6.0,4.0,9.368587243479332,123.75507994162263
7.0,4.0,17.74599915466818,107.32246426967528
8.0,4.0,20.96808065897158,122.46624733990126
9.0,5.0,1.3133834827208384,77.35710627965364
10.0,5.0,8.401962792188321,80.57918778395704
11.0,5.0,23.22353771198397,101.84492571235948
12.0,5.0,29.023284419730093,121.49962288861025
13.0,5.0,25.15678661456601,108.28908872096629
14.0,6.0,44.16706748995609,120.85520658774956
15.0,6.0,31.600949623172813,118.27754138430684
16.0,6.0,25.156786614566013,96.04517900461336
17.0,6.0,34.50082297704588,107.6446724201056
18.0,6.0,0.6689671818602116,97.97842790719541
19.0,6.0,2.602216084442242,60.92449060770628
20.0,6.0,6.468713889606305,74.13502477535025
21.0,7.0,46.74473269339884,122.14403918947094
22.0,7.0,37.72290448134931,108.61129687139663
23.0,7.0,34.50082297704591,120.53299843731925
24.0,7.0,44.16706748995612,116.02208433129448
25.0,7.0,1.3133834827208624,100.2338849602078
26.0,7.0,33.85640667618523,98.30063605762577
27.0,7.0,5.824297588745625,66.72423731545241
28.0,7.0,2.2800079340118833,56.09136835125119
29.0,8.0,62.85514021491585,112.80000282699108
30.0,8.0,68.65488692266197,116.02208433129448
31.0,8.0,50.61123049856292,122.46624733990129
32.0,8.0,37.72290448134931,97.97842790719542
33.0,8.0,39.01173708307067,109.90012947311801
34.0,8.0,40.944985985652714,118.59974953473719
35.0,8.0,46.74473269339884,115.69987618086414
36.0,8.0,11.946252446922092,99.91167680977746
37.0,8.0,2.2800079340118833,99.58946865934713
38.0,8.0,6.468713889606305,93.46751380117067
39.0,8.0,13.557293199073772,58.02461725383323
40.0,8.0,8.401962792188325,66.07982101459174
41.0,8.0,2.9244242348725447,55.76916020082085
42.0,8.0,4.213256836593907,47.71395644006234
43.0,9.0,68.3326787722316,111.83337837570006
44.0,9.0,62.21072391405514,111.18896207483938
45.0,9.0,55.12214460458765,114.41104357914278
46.0,9.0,43.844859339525776,120.21079028688891
47.0,9.0,49.6446060472719,119.24416583559788
48.0,9.0,36.75628003005829,117.63312508344619
49.0,9.0,12.26846059735243,98.30063605762577
50.0,9.0,19.357039906819917,58.99124170512425
51.0,9.0,12.590668747782772,52.224870546087104
52.0,9.0,5.824297588745625,46.74733198877132
53.0,9.0,0.9911753322905223,31.925757068975663
54.0,9.0,33.21199037532455,81.54581223524806
55.0,9.0,37.72290417406767,96.36738715504373
56.0,9.0,46.100316085256516,104.74479906623257
