index,axis-0,axis-1,axis-2
0.0,0.0,21.921287811739184,118.98625635060931
1.0,0.0,28.170679158583575,115.36818767612046
2.0,0.0,30.473086496894666,112.07903433567604
3.0,0.0,31.29537483200577,119.31517168465376
4.0,0.0,33.43332450329464,122.7687826921204
5.0,0.0,29.979713495828,123.75552869425371
6.0,0.0,19.947795807472538,121.94649435700929
7.0,0.0,21.592372477694745,123.42661336020927
8.0,0.0,24.88152581813916,121.61757902296485
9.0,0.0,27.67730615751691,120.13746001976486
10.0,0.0,16.329727132983678,118.49288334954265
11.0,0.0,16.658642467028116,123.75552869425371
12.0,0.0,0.8707064328949201,60.27486922367649
13.0,0.0,0.706248765872699,106.48747365692054
14.0,0.0,13.28784378489047,102.09553013249548
15.0,0.0,15.72806038162334,95.34904895329285
16.0,0.0,6.541362605687827,104.53574672922835
17.0,0.0,1.0867608012261183,98.0763498555237
18.0,0.0,1.2303029539751114,94.63133818954788
19.0,0.0,0.7996764957281339,114.29661311615983
20.0,1.0,19.603698505846133,96.78447048078277
21.0,1.0,21.75683079708102,102.81324089624044
22.0,1.0,23.19225232457094,110.85160145018402
23.0,1.0,27.49851690704071,115.30140818540278
24.0,1.0,30.656444267518545,111.85639651942697
25.0,1.0,21.75683079708102,119.17704630962558
26.0,1.0,21.32620433883404,123.77039519759333
27.0,1.0,25.48892676855482,124.05747950309132
28.0,1.0,29.077480587279624,123.33976873934635
29.0,1.0,0.6840918585449115,41.23868916083447
30.0,1.0,3.5153767402402583,46.01648239869536
31.0,1.0,1.5688683840747086,53.6255605182516
32.0,1.0,0.5071365534389534,61.23463863780785
33.0,1.0,18.733532979352745,112.1977665083241
34.0,1.0,5.815795706617726,89.37053214965536
35.0,1.0,13.42487382617397,113.79036425427773
36.0,1.0,3.692332045346216,123.34595072999952
37.0,1.0,1.0380024687568277,115.20600669512541
38.0,1.0,2.9845108249223795,96.80265496410564
39.0,1.0,6.169706316829645,104.76564369387381
40.0,1.0,18.910488284458708,87.24706848838386
41.0,1.0,1.2149577738627872,89.72444275986729
42.0,1.0,15.194426877233562,95.74092313346989
43.0,2.0,3.4816906034494135,47.066945818228994
